m,obs,exp,normWidth
350.0,0.052461804785251955,0.03327852722862039,0.0
353.0,0.04922469011988518,0.03282229599902151,0.0
357.0,0.036753990492443704,0.032213987692889676,0.0
360.0,0.030250785184574226,0.03175775646329079,0.0
364.0,0.04040014132114581,0.03114892976951735,0.0
368.0,0.04666659510678506,0.03053053177610065,0.0
371.0,0.047934212646525545,0.03006673328103812,0.0
375.0,0.047156596473514445,0.029560784727114237,0.0
378.0,0.043427976336092015,0.029220532272913685,0.0
382.0,0.036069303496647456,0.028766862333979612,0.0
386.0,0.029482621810499807,0.028264159026034703,0.0
390.0,0.026727840740713056,0.027717130271601872,0.0
394.0,0.024103276016704252,0.027153236010570785,0.0
397.0,0.022167468062526403,0.02671048921330369,0.0
401.0,0.02167662964867711,0.026120160150280895,0.0
405.0,0.023690988475945793,0.025709887907459893,0.0
409.0,0.02390771327330422,0.025501790699439628,0.0
413.0,0.021982111143403746,0.025293693491419363,0.0
417.0,0.02074189754211792,0.025063117894645232,0.0
422.0,0.020450477924055094,0.024647597251788285,0.0
426.0,0.020565749578747013,0.02431518073750273,0.0
430.0,0.020211483319330457,0.02402349198214009,0.0
434.0,0.019857217059913904,0.02374046652878533,0.0
438.0,0.02022517456513971,0.023457441075430574,0.0
443.0,0.02334357551407069,0.02309959678460395,0.0
447.0,0.026471570649858073,0.02281060831745592,0.0
451.0,0.027195488051493067,0.022521619850307886,0.0
456.0,0.026689251701563582,0.022229989041822225,0.0
460.0,0.02799203260276838,0.02201391207906461,0.0
465.0,0.0271403630906348,0.021743815875617592,0.0
469.0,0.02130935124638805,0.02147976968574323,0.0
474.0,0.016983129670347007,0.021108508746369405,0.0
479.0,0.017698570565557556,0.020737247806995582,0.0
483.0,0.01885047320998434,0.02049728473610738,0.0
488.0,0.018065888221543966,0.020287222725901805,0.0
493.0,0.01810527237304028,0.020077160715696225,0.0
498.0,0.020647810793056977,0.019664235023107327,0.0
503.0,0.021448338277350546,0.0192237649820378,0.0
508.0,0.020048396268146626,0.018783294940968268,0.0
513.0,0.014235309342585167,0.01846308922948164,0.0
518.0,0.010928192336771508,0.018145244210896153,0.0
523.0,0.00978211450447344,0.017817016722768305,0.0
528.0,0.009182701396184828,0.017466690339544136,0.0
533.0,0.008693454415594628,0.017116363956319967,0.0
538.0,0.008276156824222388,0.016788543292258123,0.0
544.0,0.008327485938211962,0.016419530072057223,0.0
549.0,0.008923969105589569,0.01611201905522314,0.0
554.0,0.010925542172810169,0.015820443528467246,0.0
560.0,0.01375576795292959,0.015480010624055556,0.0
565.0,0.014925870156264318,0.015196316537045814,0.0
571.0,0.01681615908709545,0.014855883632634124,0.0
576.0,0.01995939096387192,0.014572189545624382,0.0
582.0,0.022479101878943527,0.014238949475379476,0.0
588.0,0.022172931200627754,0.013944079118824596,0.0
594.0,0.0204791506890594,0.013649208762269717,0.0
599.0,0.017260371174771846,0.01341455290195579,0.0
605.0,0.015513715133739864,0.013155201565662899,0.0
611.0,0.014113574488711172,0.01289585022937001,0.0
617.0,0.012487755348272997,0.012637192088836492,0.0
623.0,0.01179221262489755,0.01237943828284369,0.0
630.0,0.010659588886846325,0.012078725509185421,0.0
636.0,0.010429165702925867,0.01182097170319262,0.0
642.0,0.014461013178152616,0.011563217897199817,0.0
648.0,0.018349865980880176,0.011305464091207015,0.0
655.0,0.019592630296106667,0.011004751317548746,0.0
661.0,0.01972342918655386,0.010761152066191004,0.0
668.0,0.019568706021213307,0.010473762566604261,0.0
674.0,0.017836516073991927,0.010221345826038978,0.0
681.0,0.014575728594400818,0.009926859628712812,0.0
687.0,0.010883085001241306,0.009674613017342562,0.0
694.0,0.010262358032572466,0.009380365605990527,0.0
701.0,0.011177915021753774,0.009142520677553067,0.0
708.0,0.012935829548762776,0.008979882068242828,0.0
715.0,0.012853374549974077,0.008817243458932587,0.0
722.0,0.011548515352506554,0.00862154686323169,0.0
729.0,0.00921681033820111,0.008402117327143296,0.0
736.0,0.006561423358751237,0.008213286321802047,0.0
743.0,0.005622205121283109,0.008104947330845536,0.0
751.0,0.0054707581666022815,0.007981131341180952,0.0
758.0,0.005804736724164469,0.00787279235022444,0.0
766.0,0.006382274965638595,0.007730003104622143,0.0
773.0,0.007640741123954541,0.0076046283257964805,0.0
781.0,0.009777394599202675,0.007461342864281437,0.0
788.0,0.010479581449634566,0.007335968085455774,0.0
796.0,0.011071824464088347,0.007192682623940731,0.0
804.0,0.01144525897994131,0.007050663167727609,0.0
812.0,0.011707474142018287,0.006912734721908083,0.0
820.0,0.011878065570732937,0.006774806276088557,0.0
828.0,0.012021589515599552,0.006641944341471201,0.0
836.0,0.011790783169896303,0.006514979935656427,0.0
844.0,0.01140655582819133,0.006388015529841654,0.0
853.0,0.010407141940771412,0.006259115676082286,0.0
861.0,0.008730073749385399,0.006151081804565598,0.0
869.0,0.005610242518714739,0.00604304793304891,0.0
878.0,0.0048145075540245025,0.005921509827592636,0.0
887.0,0.005175299232817044,0.005799971722136362,0.0
895.0,0.006505184190108105,0.005692849099337528,0.0
904.0,0.006883258963513265,0.005600129075688364,0.0
913.0,0.006653081201311972,0.005507409052039201,0.0
922.0,0.006180826618366411,0.0054114748215073685,0.0
931.0,0.005705625100795165,0.005296513518912035,0.0
940.0,0.005889345541336828,0.005181552216316701,0.0
949.0,0.00607306598187849,0.005085742945800334,0.0
959.0,0.00604360762865887,0.005014950632187475,0.0
968.0,0.005909058869393398,0.004951237549935901,0.0
978.0,0.005376565957690086,0.004869538952500033,0.0
987.0,0.004869161810101276,0.004776861396809239,0.0
997.0,0.004476819678323515,0.004673886334930578,0.0
1007.0,0.0041824059465356295,0.004570911273051918,0.0
1017.0,0.003995359837408092,0.004467936211173257,0.0
1027.0,0.004370516563350282,0.004365953519359609,0.0
1037.0,0.005359388843795214,0.0042887967231265995,0.0
1047.0,0.00568349928736267,0.004211639926893591,0.0
1057.0,0.0058815772798814685,0.004134851620518676,0.0
1068.0,0.0059696881814075295,0.004058461953208899,0.0
1078.0,0.005936871694656441,0.003989016801109102,0.0
1089.0,0.0057545480164444985,0.0039118675007852495,0.0
1100.0,0.00494749091681366,0.003831873278635924,0.0
1110.0,0.003882394379269389,0.003759151258500173,0.0
1121.0,0.0031685237196367876,0.0036856840787554573,0.0
1132.0,0.00282695608476193,0.0036194902920499436,0.0
1143.0,0.0024901954998046752,0.00355329650534443,0.0
1155.0,0.0020628796227057837,0.0034837511664612014,0.0
1166.0,0.0017290565241392549,0.0034215469743144895,0.0
1177.0,0.0015613313472368753,0.003359342782167778,0.0
1189.0,0.0014556308987677482,0.0032940846443866947,0.0
1201.0,0.0016583677189488132,0.003229859109275757,0.0
1213.0,0.0019066523218352945,0.00316563357416482,0.0
1224.0,0.0021121163758084016,0.003116525259403603,0.0
1236.0,0.002318542311181156,0.003063022053017444,0.0
1249.0,0.002471182356216325,0.0030055435468792704,0.0
1261.0,0.002518810737120404,0.002956501055107248,0.0
1273.0,0.0023545002122803507,0.002907458563335226,0.0
1286.0,0.0022922462209993603,0.0028546689131615922,0.0
1298.0,0.0024275308286820898,0.002807145783972505,0.0
1311.0,0.002529429789199152,0.002755662394017661,0.0
1324.0,0.00250398269660345,0.0027074713186704354,0.0
1337.0,0.0023745123253466026,0.0026665576727259704,0.0
1350.0,0.002232247037139703,0.0026256440267815053,0.0
1364.0,0.002122207213029649,0.002583438360988051,0.0
1377.0,0.002190408148481003,0.002546310948461045,0.0
1391.0,0.0023478294478320705,0.002506327581124269,0.0
1404.0,0.0025016752731609323,0.0024668777170354754,0.0
1418.0,0.0026368690871575212,0.002421832252847861,0.0
1432.0,0.0027545992202756262,0.0023767867886602474,0.0
1446.0,0.0028568440635529336,0.0023363903979691193,0.0
1460.0,0.0029013374537580953,0.0022980183760830603,0.0
1475.0,0.0029355098351228374,0.0022569054954908545,0.0
1489.0,0.0029332267823123583,0.0022194259872451595,0.0
1504.0,0.002924714085530602,0.002179452118766494,0.0
1518.0,0.0029060293062719627,0.0021421431748530726,0.0
1533.0,0.0028669331767989634,0.0020994878231090264,0.0
1548.0,0.002797479344666828,0.0020565529648527876,0.0
1564.0,0.0025744812549264202,0.00201022609371126,0.0
1579.0,0.0022753434672020223,0.0019641667238325887,0.0
1595.0,0.0018960053985645564,0.0019150367292953393,0.0
1610.0,0.0015716779103522422,0.001878263473647952,0.0
1626.0,0.001298770565898459,0.0018465541213698198,0.0
1642.0,0.0011308218641240349,0.0018148447690916876,0.0
1658.0,0.0010573422259380241,0.001781264414718911,0.0
1675.0,0.0010135183223928513,0.001744498476418011,0.0
1691.0,0.000990669678334802,0.0017098952403701052,0.0
1708.0,0.000998220121537966,0.001675685939943642,0.0
1724.0,0.0010185242977338465,0.0016438550394484877,0.0
1741.0,0.0010633143357851767,0.0016103440064734148,0.0
1759.0,0.0011563497793017014,0.001580691007406775,0.0
1776.0,0.0013491654108545702,0.0015526853971771705,0.0
1793.0,0.0015421416888001013,0.0015246797869475663,0.0
1811.0,0.001814899455903097,0.0014950267878809265,0.0
1829.0,0.0019138523976808283,0.0014653737888142865,0.0
1847.0,0.002012551158878367,0.0014370396185495475,0.0
1865.0,0.002114519044297456,0.001411252807630918,0.0
1883.0,0.0022678280209692554,0.0013854659967122889,0.0
