m,obs,exp
495,0.011052350109929289,0.018153187949373106
500,0.012032800522906888,0.01782637114504724
505,0.01265672351298354,0.017499554340721372
510,0.013518331451660823,0.017202448154970584
520,0.015627785370491414,0.016637946402044093
525,0.016608235783469014,0.016400261453443463
530,0.01752926495929645,0.016162576504842832
535,0.01684592073206964,0.0159248915562422
540,0.01598431279339236,0.01568720660764157
545,0.01524154732901539,0.01527125794759047
550,0.014706756194663972,0.014795888050389209
555,0.012359617327232753,0.014558203101788578
560,0.010220452789827084,0.014379939390338105
565,0.009210291758274407,0.014171965060312555
570,0.008705211242498068,0.013934280111711925
575,0.008705211242498068,0.013696595163111296
580,0.008972606809673777,0.013488620833085744
585,0.009091449283974092,0.013250935884485116
590,0.008824053716798383,0.013042961554459564
595,0.008467526293897437,0.012834987224434012
600,0.0079624457781211,0.01265672351298354
610,0.007130548458018896,0.012240774852932438
615,0.006744310416542872,0.012032800522906888
620,0.006595757323667479,0.011854536811456415
625,0.006536336086517321,0.011646562481430863
635,0.006833442272268109,0.011290035058529919
640,0.007130548458018896,0.011111771347079446
645,0.007427654643769683,0.010963218254204052
650,0.007932735159546022,0.01078495454275358
655,0.008853764335373462,0.010636401449878185
660,0.00983421474835106,0.010458137738427712
665,0.00959652979975043,0.01030958464555232
670,0.009061738665399013,0.010161031552676928
675,0.008378394438172202,0.010012478459801534
680,0.00772476082952047,0.00986392536692614
685,0.007279101550894289,0.009715372274050746
690,0.006922574127993345,0.00959652979975043
695,0.006922574127993345,0.009447976706875036
700,0.007011705983718581,0.009329134232574723
705,0.007189969695169053,0.009180581139699329
710,0.007457365262344762,0.009061738665399013
715,0.00772476082952047,0.00891318557252362
720,0.007932735159546022,0.008794343098223304
725,0.00888347495394854,0.008675500623922989
730,0.00938855546972488,0.008586368768197752
735,0.00986392536692614,0.008497236912472516
745,0.010695822687028343,0.008289262582446968
750,0.011141481965654525,0.008200130726721731
755,0.012537881038683224,0.008110998870996495
760,0.014201675678887634,0.008021867015271258
765,0.015092994236139997,0.007932735159546022
770,0.015598074751916335,0.007843603303820786
775,0.014647334957513814,0.007754471448095549
780,0.01360746330738606,0.007665339592370314
785,0.0117356943371561,0.007576207736645077
790,0.01030958464555232,0.0075167864994949195
795,0.009477687325450115,0.007457365262344762
800,0.008616079386772831,0.007427654643769683
805,0.007754471448095549,0.007338522788044447
810,0.007130548458018896,0.007279101550894289
815,0.006744310416542872,0.00724939093231921
820,0.0065066254679422425,0.007189969695169053
825,0.007665339592370314,0.007160259076593975
830,0.008972606809673777,0.007071127220868738
835,0.009685661655475667,0.006981995365143502
840,0.010161031552676928,0.006922574127993345
845,0.009358844851149802,0.006863152890843187
850,0.008289262582446968,0.006833442272268109
