m,exp,obs
50.1030927835051,11.3402296299968,10.9097582227046
53.1958762886598,10.0484908257287,8.16140079325182
56.0824742268041,10.2944948816155,11.9022824477871
58.9690721649485,11.015819387359,11.1229116445837
61.8556701030928,13.4323271444295,14.304154254852
65.1546391752577,12.1936704589071,16.9430501625222
68.0412371134021,10.857111194022,11.1229116445837
69,1000000,1000000
112,1000000,1000000
113.40206185567,5.12960629473252,4.1062499172443
118.144329896907,5.10485244371067,3.87467512045613
123.298969072165,4.47981937991362,4.33066531720584
129.278350515464,3.83736944745241,3.96953372274846
135.051546391753,3.76383218896516,3.17761180566086
140.20618556701,3.40026374648183,2.96953928880449
147.835051546392,2.88458960148464,2.78854817172629
155.257731958763,2.44712110276819,3.60348475511829
162.268041237113,2.12682174729621,2.61858832289389
169.896907216495,2.09617999245313,1.90288159123103
178.350515463918,1.98755578879352,1.70252084117965
185.979381443299,1.73578446954885,1.60650600385373
194.639175257732,1.56811587424569,1.3694766186266
204.123711340206,1.56811587424569,1.17308027169156
215.051546391753,1.41664327466902,1.05976624867607
222.886597938144,1.34974616078987,0.971392974108775
232.989690721649,1.40300372319058,1.60650600385373
243.917525773196,1.31749173414821,1.22527985738287
255.051546391753,1.19022824477872,1.01461790254339
266.80412371134,1.21936704589071,1.36286795935578
280,1.15617935456386,1.68612883828689
293.19587628866,1.02944948816155,1.24319087892647
300.000000000001,0.93451921456054,0.962040327106479
307.216494845361,0.848342898244074,0.737304795871685
321.855670103093,0.737304795871683,1.26136372203745
336.907216494845,0.804381705940068,0.705894008661876
352.989690721649,0.709316946997569,0.576108392224475
369.896907216495,0.726682225913272,0.824074330989369
387.628865979381,0.63463059962866,0.751710160041978
407.422680412371,0.404708995075977,0.562341325190351
426.80412371134,0.420677786235032,0.422717687557056
448.041237113402,0.461174776770828,0.374566913006292
470.103092783505,0.3177611805661,0.422717687557054
493.814432989691,0.288458960148466,0.298393883001927
519.381443298969,0.234286842373225,0.250703076750966
545.979381443299,0.208606449347197,0.199719361093159
573.60824742268,0.266974995728804,0.340026374648184
603.711340206185,0.28845896014847,0.325540511868505
610.721649484536,0.266974995728795,0.295520923520287
