m,exp,obs
50.3952896033889,8.48803495199314,8.20174966623336
53.4765213836383,9.2303516527816,9.58902661840844
56.9638569340879,9.62533232761308,9.81056166068414
60.2432212137499,9.69869758464261,6.93454829537257
64.5305506573758,8.10739070479277,4.99593041065586
68.0151720639978,8.20037224409618,5.81871479702718
72.9237011761588,7.36979884808775,6.75112573428946
77.4268050540767,6.95989293083119,5.05277347964762
82.5056466914177,6.49800520841981,4.23984274330865
87.62791463,5.75146873557587,4.20743377682988
93.8056452495289,5.36972468226986,5.90667006090513
99.7340139048996,4.9,5.03247644266287
106.267636633818,3.85354706636362,2.95098312683432
113.218219708248,3.19673084063925,2.36543751287238
120.795430738868,3.03037169171544,2.88385048135504
128.786209435213,2.99568357707949,2.78637145010002
137.170878254535,2.47559602581808,2.19965878266586
147.61185029122,2.21627330724249,1.56661107343213
157.843493985204,1.8881849968571,1.15030481309596
168.698372955593,1.76951365353132,1.56033626627213
180.784455419765,1.69019317288812,1.68376204458497
193.282748477748,1.65808376174432,1.13683993302193
207.819702818215,1.44525222810979,0.812725449999304
223.178703470458,1.29379905780118,0.918037315614238
240.385357533319,1.20320231070894,0.863572977939438
258.610833335455,1.0487224661119,0.824814001098095
278.481758833055,0.97898716945949,0.663594795212782
300.399488044621,0.889806455999314,0.665990209202847
324.980131619013,0.799532635335257,0.974829891668643
351.001646297866,0.772374324299037,0.784242437075767
382.129483320315,0.61897412965341,0.580132006133916
451.997312997611,0.558060550338014,0.501560984840965
493.370364433181,0.443784703356388,0.711983891212342
539.872129898924,0.376519784501143,0.450404068648858
592.730420208837,0.334383249452199,0.313399891900013
613.223223910929,0.338163383383516,0.351303807982049
